0.001 1.51 101.208
0.001 1.53 101.183
0.001 1.55 101.158
0.001 1.57 101.133
0.001 1.59 101.108
0.001 1.61 101.084
0.001 1.63 101.06
0.001 1.65 101.036
0.001 1.67 101.013
0.001 1.69 100.99
0.001 1.71 100.967
0.001 1.73 100.945
0.001 1.75 100.923
0.001 1.77 100.901
0.001 1.79 100.88
0.001 1.81 100.859
0.001 1.83 100.838
0.001 1.85 100.818
0.001 1.87 100.799
0.001 1.89 100.78
0.001 1.91 100.761
0.001 1.93 100.743
0.001 1.95 100.725
0.001 1.97 100.708
0.001 1.99 100.691
0.001 2.01 100.675
0.001 2.03 100.659
0.001 2.05 100.644
0.001 2.07 100.629
0.001 2.09 100.615
0.001 2.11 100.601
0.001 2.13 100.588
0.001 2.15 100.576
0.001 2.17 100.564
0.001 2.19 100.553
0.001 2.21 100.542
0.001 2.23 100.531
0.001 2.25 100.522
0.001 2.27 100.513
0.001 2.29 100.504
0.001 2.31 100.496
0.001 2.33 100.489
0.001 2.35 100.482
0.001 2.37 100.476
0.001 2.39 100.471
0.001 2.41 100.466
0.001 2.43 100.461
0.001 2.45 100.458
0.001 2.47 100.454
0.001 2.49 100.452
0.001 2.51 100.45
0.001 2.53 100.449
0.001 2.55 100.448
0.001 2.57 100.448
0.001 2.59 100.448
0.001 2.61 100.449
0.001 2.63 100.451
0.001 2.65 100.453
0.001 2.67 100.456
0.001 2.69 100.46
0.001 2.71 100.464
0.001 2.73 100.468
0.001 2.75 100.473
0.001 2.77 100.479
0.001 2.79 100.486
0.001 2.81 100.492
0.001 2.83 100.5
0.001 2.85 100.508
0.001 2.87 100.516
0.001 2.89 100.525
0.001 2.91 100.535
0.001 2.93 100.545
0.001 2.95 100.556
0.001 2.97 100.567
0.001 2.99 100.579
0.001 3.01 100.591
0.001 3.03 100.604
0.001 3.05 100.617
0.001 3.07 100.63
0.001 3.09 100.645
0.001 3.11 100.659
0.001 3.13 100.674
0.001 3.15 100.69
0.001 3.17 100.705
0.001 3.19 100.722
0.001 3.21 100.739
0.001 3.23 100.756
0.001 3.25 100.773
0.001 3.27 100.791
0.001 3.29 100.81
0.001 3.31 100.828
0.001 3.33 100.847
0.001 3.35 100.867
0.001 3.37 100.887
0.001 3.39 100.907
0.001 3.41 100.927
0.001 3.43 100.948
0.001 3.45 100.969
0.001 3.47 100.99
0.001 3.49 101.012

0.003 1.51 98.392
0.003 1.53 98.317
0.003 1.55 98.242
0.003 1.57 98.169
0.003 1.59 98.096
0.003 1.61 98.024
0.003 1.63 97.953
0.003 1.65 97.883
0.003 1.67 97.813
0.003 1.69 97.745
0.003 1.71 97.678
0.003 1.73 97.612
0.003 1.75 97.546
0.003 1.77 97.482
0.003 1.79 97.42
0.003 1.81 97.358
0.003 1.83 97.298
0.003 1.85 97.238
0.003 1.87 97.18
0.003 1.89 97.124
0.003 1.91 97.069
0.003 1.93 97.015
0.003 1.95 96.962
0.003 1.97 96.911
0.003 1.99 96.862
0.003 2.01 96.814
0.003 2.03 96.767
0.003 2.05 96.722
0.003 2.07 96.679
0.003 2.09 96.637
0.003 2.11 96.597
0.003 2.13 96.558
0.003 2.15 96.521
0.003 2.17 96.485
0.003 2.19 96.452
0.003 2.21 96.42
0.003 2.23 96.389
0.003 2.25 96.361
0.003 2.27 96.334
0.003 2.29 96.309
0.003 2.31 96.285
0.003 2.33 96.263
0.003 2.35 96.243
0.003 2.37 96.225
0.003 2.39 96.209
0.003 2.41 96.194
0.003 2.43 96.181
0.003 2.45 96.17
0.003 2.47 96.161
0.003 2.49 96.153
0.003 2.51 96.148
0.003 2.53 96.144
0.003 2.55 96.141
0.003 2.57 96.141
0.003 2.59 96.142
0.003 2.61 96.146
0.003 2.63 96.15
0.003 2.65 96.157
0.003 2.67 96.166
0.003 2.69 96.176
0.003 2.71 96.188
0.003 2.73 96.201
0.003 2.75 96.216
0.003 2.77 96.233
0.003 2.79 96.252
0.003 2.81 96.272
0.003 2.83 96.295
0.003 2.85 96.318
0.003 2.87 96.343
0.003 2.89 96.37
0.003 2.91 96.399
0.003 2.93 96.429
0.003 2.95 96.46
0.003 2.97 96.494
0.003 2.99 96.528
0.003 3.01 96.564
0.003 3.03 96.602
0.003 3.05 96.641
0.003 3.07 96.681
0.003 3.09 96.723
0.003 3.11 96.767
0.003 3.13 96.811
0.003 3.15 96.857
0.003 3.17 96.904
0.003 3.19 96.953
0.003 3.21 97.003
0.003 3.23 97.054
0.003 3.25 97.106
0.003 3.27 97.159
0.003 3.29 97.214
0.003 3.31 97.269
0.003 3.33 97.326
0.003 3.35 97.384
0.003 3.37 97.442
0.003 3.39 97.502
0.003 3.41 97.563
0.003 3.43 97.625
0.003 3.45 97.687
0.003 3.47 97.751
0.003 3.49 97.815

0.005 1.51 95.62
0.005 1.53 95.497
0.005 1.55 95.375
0.005 1.57 95.254
0.005 1.59 95.134
0.005 1.61 95.016
0.005 1.63 94.899
0.005 1.65 94.784
0.005 1.67 94.67
0.005 1.69 94.558
0.005 1.71 94.447
0.005 1.73 94.339
0.005 1.75 94.232
0.005 1.77 94.127
0.005 1.79 94.023
0.005 1.81 93.922
0.005 1.83 93.823
0.005 1.85 93.726
0.005 1.87 93.631
0.005 1.89 93.538
0.005 1.91 93.447
0.005 1.93 93.359
0.005 1.95 93.272
0.005 1.97 93.189
0.005 1.99 93.107
0.005 2.01 93.028
0.005 2.03 92.952
0.005 2.05 92.878
0.005 2.07 92.806
0.005 2.09 92.738
0.005 2.11 92.671
0.005 2.13 92.608
0.005 2.15 92.547
0.005 2.17 92.489
0.005 2.19 92.433
0.005 2.21 92.38
0.005 2.23 92.33
0.005 2.25 92.283
0.005 2.27 92.239
0.005 2.29 92.197
0.005 2.31 92.159
0.005 2.33 92.123
0.005 2.35 92.09
0.005 2.37 92.06
0.005 2.39 92.033
0.005 2.41 92.009
0.005 2.43 91.988
0.005 2.45 91.969
0.005 2.47 91.954
0.005 2.49 91.942
0.005 2.51 91.932
0.005 2.53 91.925
0.005 2.55 91.922
0.005 2.57 91.921
0.005 2.59 91.923
0.005 2.61 91.928
0.005 2.63 91.936
0.005 2.65 91.947
0.005 2.67 91.961
0.005 2.69 91.978
0.005 2.71 91.997
0.005 2.73 92.019
0.005 2.75 92.044
0.005 2.77 92.072
0.005 2.79 92.103
0.005 2.81 92.137
0.005 2.83 92.173
0.005 2.85 92.212
0.005 2.87 92.253
0.005 2.89 92.297
