112	0	1	1.0000
114	0	0	0.9966
116	0	0	0.9932
118	0	1	0.9899
119	0	1	0.9865
121	0	1	0.9831
123	0	2	0.9797
124	0	2	0.9764
125	0	2	0.9730
126	0	1	0.9696
127	0	1	0.9662
128	0	2	0.9628
129	0	2	0.9595
132	0	2	0.9561
134	0	2	0.9527
135	0	3	0.9493
136	0	2	0.9459
139	0	2	0.9426
141	0	2	0.9392
142	0	2	0.9358
143	0	1	0.9324
144	0	1	0.9291
145	0	2	0.9257
146	0	2	0.9223
147	0	2	0.9189
149	0	3	0.9155
150	0	3	0.9122
151	0	3	0.9088
152	0	2	0.9054
155	0	2	0.9020
157	0	3	0.8986
158	0	3	0.8953
159	0	2	0.8919
160	0	2	0.8885
162	0	2	0.8851
163	0	2	0.8818
164	0	3	0.8784
167	0	3	0.8750
168	0	2	0.8716
169	0	4	0.8682
170	0	4	0.8649
172	0	3	0.8615
174	0	3	0.8581
175	0	4	0.8547
177	0	4	0.8514
178	0	4	0.8480
180	0	3	0.8446
181	0	3	0.8412
182	1	2	0.8378
183	1	2	0.8345
184	1	2	0.8311
186	3	4	0.8277
188	2	3	0.8243
190	4	5	0.8209
192	5	4	0.8176
194	7	6	0.8142
195	7	5	0.8108
197	6	5	0.8074
199	8	4	0.8041
200	9	6	0.8007
204	9	5	0.7973
204	10	5	0.7939
204	10	4	0.7905
206	10	4	0.7872
206	11	4	0.7838
209	12	6	0.7804
210	12	6	0.7770
211	13	5	0.7736
212	13	5	0.7703
214	12	4	0.7669
217	13	6	0.7635
218	14	6	0.7601
220	14	5	0.7568
220	15	5	0.7534
224	16	6	0.7500
225	16	6	0.7466
226	17	5	0.7432
227	17	5	0.7399
229	17	5	0.7365
230	18	7	0.7331
231	17	7	0.7297
233	18	6	0.7264
236	20	5	0.7230
237	21	7	0.7196
239	21	6	0.7162
241	21	6	0.7128
242	21	6	0.7095
243	21	5	0.7061
244	22	7	0.7027
244	23	7	0.6993
244	24	7	0.6959
244	25	7	0.6926
244	25	8	0.6892
244	26	8	0.6858
244	28	8	0.6824
244	29	8	0.6791
244	30	7	0.6757
244	33	6	0.6723
244	35	8	0.6689
244	36	9	0.6655
244	37	9	0.6622
245	40	8	0.6588
245	41	9	0.6554
245	42	9	0.6520
245	43	9	0.6486
