x,Curve1
0.9883,3.3682
2.9649,3.9639
4.9628,2.1769
7.067,1.4946
9.0436,1.1372
11.0202,0.8989
13.0606,0.7798
14.9947,0.6065
17.0351,0.509
19.0117,0.4549
22.508,0.3899
