x,Curve1
0.7276,22.09
1.2218,118.29
1.7159,251.54
2.2376,377.67
2.7318,470.31
3.2122,498.1
3.7614,451.78
4.2006,358.43
4.6948,269.36
5.1753,206.65
5.7107,166.75
6.1637,144.66
6.7128,129.69
7.2207,122.57
7.7423,118.29
8.2503,111.16
8.868,106.89
9.3897,102.61
10.1035,96.2
10.8722,91.92
11.5861,86.22
12.4509,81.95
13.4393,75.53
