x,Curve1
0.7276,0
1.2218,3.92
1.6954,3.92
2.2376,3.21
2.7318,2.85
3.2534,1.43
3.7339,1.07
4.283,0
4.7635,0
5.2302,0
5.7313,0
6.2392,0.36
6.754,0.36
7.2482,0.36
7.7286,0.36
8.2709,0
8.7513,0
9.3759,0
10.1241,0
10.8722,0
11.6204,0
12.5195,0
13.4942,0
