0.01	0.0001	373.748
0.01	0.000167	373.33
0.01	0.000278	372.184
0.01	0.000464	369.215
0.01	0.000774	361.547
0.01	0.00129	343.895
0.01	0.00215	316.147
0.01	0.00359	302.376
0.01	0.00599	305.917
0.01	0.01	298.715

0.0146	0.0001	373.669
0.0146	0.000167	373.055
0.0146	0.000278	371.407
0.0146	0.000464	367.079
0.0146	0.000774	355.734
0.0146	0.00129	330.393
0.0146	0.00215	291.055
0.0146	0.00359	271.79
0.0146	0.00599	282.059
0.0146	0.01	274.58

0.0213	0.0001	373.549
0.0213	0.000167	372.654
0.0213	0.000278	370.277
0.0213	0.000464	363.942
0.0213	0.000774	347.446
0.0213	0.00129	311.364
0.0213	0.00215	257.324
0.0213	0.00359	234.044
0.0213	0.00599	257.372
0.0213	0.01	253.648

0.0311	0.0001	373.376
0.0311	0.000167	372.086
0.0311	0.000278	368.693
0.0311	0.000464	359.419
0.0311	0.000774	335.779
0.0311	0.00129	285.502
0.0311	0.00215	212.722
0.0311	0.00359	189.763
0.0311	0.00599	234.971
0.0311	0.01	244.025

0.0453	0.0001	373.123
0.0453	0.000167	371.264
0.0453	0.000278	366.29
0.0453	0.000464	352.637
0.0453	0.000774	319.156
0.0453	0.00129	251.841
0.0453	0.00215	160.844
0.0453	0.00359	147.003
0.0453	0.00599	232.132
0.0453	0.01	287.2

0.0662	0.0001	372.753
0.0662	0.000167	370.069
0.0662	0.000278	362.821
0.0662	0.000464	343.125
0.0662	0.000774	296.665
0.0662	0.00129	210.91
0.0662	0.00215	111.599
0.0662	0.00359	123.589
0.0662	0.00599	306.732
0.0662	0.01	472.011

0.0965	0.0001	372.228
0.0965	0.000167	368.393
0.0965	0.000278	357.737
0.0965	0.000464	329.827
0.0965	0.000774	267.599
0.0965	0.00129	169.222
0.0965	0.00215	92.3269
0.0965	0.00359	184.343
0.0965	0.00599	585.69
0.0965	0.01	1018.55

0.141	0.0001	371.475
0.141	0.000167	365.855
0.141	0.000278	350.263
0.141	0.000464	311.142
0.141	0.000774	233.225
0.141	0.00129	148.196
0.141	0.00215	171.124
0.141	0.00359	482.199
0.141	0.00599	1353.85
0.141	0.01	2394.76

0.206	0.0001	370.383
0.206	0.000167	362.215
0.206	0.000278	339.839
0.206	0.000464	286.699
0.206	0.000774	199.715
0.206	0.00129	199.556
0.206	0.00215	530.608
0.206	0.00359	1366.73
0.206	0.00599	3241.63
0.206	0.01	5620.62

0.3	0.0001	368.872
0.3	0.000167	356.845
0.3	0.000278	325.196
0.3	0.000464	256.52
0.3	0.000774	187.549
0.3	0.00129	443.558
0.3	0.00215	1583.61
0.3	0.00359	3618.1
0.3	0.00599	7634.52
0.3	0.01	12947.6

