x,Curve1
1.0294,1074.8
1.4329,790.1
1.6741,553.6
1.92,305
2.1751,188.61
2.4163,197.9
2.6854,293.5
2.9359,207.65
3.1864,71.43
3.4322,46.34
3.6874,42.09
3.9518,40.51
4.2023,40.51
4.4388,40.9
4.694,38.6
4.963,38.6
5.2135,37.87
5.4547,38.6
5.7099,36.79
5.9603,36.09
6.2062,36.44
6.4381,37.15
6.6886,35.75
6.9438,34.73
7.1896,33.42
9.778,18.063
