x,Curve1
1.2893,5926.2
1.50247,8298.41
1.70041,10209.8
1.89835,12252.8
2.0963,14098.4
2.30947,15483.8
2.49218,16408.1
2.70535,16938.2
2.90329,16810.2
3.10123,16945.3
3.3144,16159.6
3.49712,15439.1
3.71029,14456.1
3.90823,13012.2
4.10617,12357.9
4.30412,11374.5
4.50206,10654.4
4.7,9605.26
4.89794,8621.94
5.09588,7572.83
5.29383,6655.3
5.49177,5408.82
5.68971,4557.07
5.90288,3639.81
6.19218,2658.11
6.70988,1351.53
7.69959,184.914
