x,Curve1
1.3004,246.67
1.5171,231.28
1.7262,209.74
1.924,190.26
2.1255,157.44
2.3004,136.41
2.4905,140.51
2.73,138.46
2.924,127.18
3.1293,110.77
3.327,101.54
3.4829,100.51
3.6464,102.05
3.8555,103.08
4.0608,104.1
4.2586,105.13
4.4525,105.64
4.6578,106.15
4.8707,106.67
5.0875,107.18
5.327,107.18
5.5437,106.15
5.7757,105.13
6.0076,103.08
6.6882,96.92
7.749,83.08
